latitude,longitude,line_name,color
13.7316952,100.4776154,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7318444,100.4777683,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7332578,100.4787043,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.736246,100.4806073,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7366776,100.4808664,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7370829,100.4811353,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7373838,100.4814258,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7375975,100.4816924,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7377562,100.4819373,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7378953,100.4821924,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7380192,100.48247,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7381201,100.4827871,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7382022,100.4831282,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7382549,100.4834998,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7383178,100.4852356,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7383274,100.4857021,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7383415,100.4864971,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.738469,100.4902613,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7385766,100.4908153,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7387416,100.4913533,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7389529,100.4918775,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7391741,100.4923171,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7394611,100.492773,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7398262,100.4932075,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7401652,100.4935571,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7405076,100.4938402,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7408229,100.4940763,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7411207,100.4942578,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7414797,100.4944327,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7417402,100.4945353,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7420386,100.4946477,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7424677,100.494766,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7428765,100.4948178,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7430415,100.4948295,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7432268,100.4948199,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7438148,100.494772,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7443341,100.494692,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7444962,100.4946689,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7447452,100.4946334,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.745402,100.4945398,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7456035,100.4945197,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7458092,100.4945065,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7459961,100.4945029,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7461817,100.4945031,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7463742,100.4945126,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7465656,100.4945522,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7467233,100.4946095,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7468716,100.4947034,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7470255,100.4948544,MRT Blue Line (Tha Phra → Lak Song),#1E398D
13.7471359,100.4950216,MRT Blue Line (Tha Phra → Lak Song),#1E398D
